suratptrid,Shape,From,To,SRTPointer,Con,CertCost,last_modifiedby,last_modified_date
137,8,2,2.2,2.00-2.20,BEZEL PRINCESS2.00-2.20,102.5,1,now()
138,8,2.21,2.39,2.21-2.39,BEZEL PRINCESS2.21-2.39,92.760181,1,now()
139,8,2.4,2.49,2.40-2.49,BEZEL PRINCESS2.40-2.49,85.41666667,1,now()
140,8,2.5,2.69,2.50-2.69,BEZEL PRINCESS2.50-2.69,82,1,now()
141,8,2.7,2.79,2.70-2.79,BEZEL PRINCESS2.70-2.79,75.92592593,1,now()
142,8,2.8,2.94,2.80-2.94,BEZEL PRINCESS2.80-2.94,73.21428571,1,now()
143,8,2.95,2.99,2.95-2.99,BEZEL PRINCESS2.95-2.99,69.49152542,1,now()
144,8,3,3.99,3.00-3.99,BEZEL PRINCESS3.00-3.99,99.66666667,1,now()
145,8,4,4.99,4.00-4.99,BEZEL PRINCESS4.00-4.99,100,1,now()
146,8,5,5.99,5.00-5.99,BEZEL PRINCESS5.00-5.99,113.6,1,now()
147,14,0.3,0.34,0.30-0.34,Oval0.30-0.34,133.3333333,1,now()
148,14,0.35,0.39,0.35-0.39,Oval0.35-0.39,114.2857143,1,now()
149,14,0.4,0.44,0.40-0.44,Oval0.40-0.44,105,1,now()
150,14,0.45,0.49,0.45-0.49,Oval0.45-0.49,93.33333333,1,now()
151,14,0.5,0.54,0.50-0.54,Oval0.50-0.54,86,1,now()
152,14,0.55,0.59,0.55-0.59,Oval0.55-0.59,78.18181818,1,now()
153,14,0.6,0.69,0.60-0.69,Oval0.60-0.69,71.66666667,1,now()
154,14,0.7,0.74,0.70-0.74,Oval0.70-0.74,74.28571429,1,now()
155,14,0.75,0.79,0.75-0.79,Oval0.75-0.79,69.33333333,1,now()
156,14,0.8,0.89,0.80-0.89,Oval0.80-0.89,65,1,now()
157,14,0.9,0.94,0.90-0.94,Oval0.90-0.94,57.77777778,1,now()
158,14,0.95,0.99,0.95-0.99,Oval0.95-0.99,54.73684211,1,now()
159,14,1,1.1,1.00-1.10,Oval1.00-1.10,122.9733333,1,now()
160,14,1.11,1.19,1.11-1.19,Oval1.11-1.19,113.5135135,1,now()
161,14,1.2,1.39,1.20-1.39,Oval1.20-1.39,109.1666667,1,now()
162,14,1.4,1.44,1.40-1.44,Oval1.40-1.44,93.57142857,1,now()
163,14,1.45,1.49,1.45-1.49,Oval1.45-1.49,90.34482759,1,now()
164,14,1.5,1.69,1.50-1.69,Oval1.50-1.69,98,1,now()
165,14,1.7,1.89,1.70-1.89,Oval1.70-1.89,86.47058824,1,now()
166,14,1.9,1.94,1.90-1.94,Oval1.90-1.94,77.36842105,1,now()
167,14,1.95,1.99,1.95-1.99,Oval1.95-1.99,75.38461538,1,now()
168,14,2,2.2,2.00-2.20,Oval2.00-2.20,102.5,1,now()
169,14,2.21,2.39,2.21-2.39,Oval2.21-2.39,92.760181,1,now()
170,14,2.4,2.49,2.40-2.49,Oval2.40-2.49,85.41666667,1,now()
171,14,2.5,2.69,2.50-2.69,Oval2.50-2.69,82,1,now()
172,14,2.7,2.89,2.70-2.89,Oval2.70-2.89,75.92592593,1,now()
173,14,2.9,2.94,2.90-2.94,Oval2.90-2.94,70.68965517,1,now()
174,14,2.95,2.99,2.95-2.99,Oval2.95-2.99,69.49152542,1,now()
175,14,3,3.99,3.00-3.99,Oval3.00-3.99,99.66666667,1,now()
176,14,4,4.99,4.00-4.99,Oval4.00-4.99,100,1,now()
177,14,5,5.99,5.00-5.99,Oval5.00-5.99,113.6,1,now()
178,9,0.3,0.34,0.30-0.34,Emerald0.30-0.34,133.3333333,1,now()
179,9,0.35,0.39,0.35-0.39,Emerald0.35-0.39,114.2857143,1,now()
180,9,0.4,0.44,0.40-0.44,Emerald0.40-0.44,105,1,now()
181,9,0.45,0.49,0.45-0.49,Emerald0.45-0.49,93.33333333,1,now()
182,9,0.5,0.54,0.50-0.54,Emerald0.50-0.54,86,1,now()
183,9,0.55,0.59,0.55-0.59,Emerald0.55-0.59,78.18181818,1,now()
184,9,0.6,0.69,0.60-0.69,Emerald0.60-0.69,71.66666667,1,now()
185,9,0.7,0.74,0.70-0.74,Emerald0.70-0.74,74.28571429,1,now()
186,9,0.75,0.79,0.75-0.79,Emerald0.75-0.79,69.33333333,1,now()
187,9,0.8,0.89,0.80-0.89,Emerald0.80-0.89,65,1,now()
188,9,0.9,0.94,0.90-0.94,Emerald0.90-0.94,57.77777778,1,now()
189,9,0.95,0.99,0.95-0.99,Emerald0.95-0.99,54.73684211,1,now()
190,9,1,1.04,1.00-1.04,Emerald1.00-1.04,126,1,now()
191,9,1.05,1.1,1.05-1.10,Emerald1.05-1.10,120,1,now()
192,9,1.11,1.19,1.11-1.19,Emerald1.11-1.19,113.5135135,1,now()
193,9,1.2,1.39,1.20-1.39,Emerald1.20-1.39,109.1666667,1,now()
194,9,1.4,1.44,1.40-1.44,Emerald1.40-1.44,93.57142857,1,now()
195,9,1.45,1.49,1.45-1.49,Emerald1.45-1.49,90.34482759,1,now()
196,9,1.5,1.69,1.50-1.69,Emerald1.50-1.69,98,1,now()
197,9,1.7,1.79,1.70-1.79,Emerald1.70-1.79,86.47058824,1,now()
198,9,1.8,1.94,1.80-1.94,Emerald1.80-1.94,81.66666667,1,now()
199,9,1.95,1.99,1.95-1.99,Emerald1.95-1.99,75.38461538,1,now()
200,9,2,2.2,2.00-2.20,Emerald2.00-2.20,102.5,1,now()
201,9,2.21,2.39,2.21-2.39,Emerald2.21-2.39,92.760181,1,now()
202,9,2.4,2.49,2.40-2.49,Emerald2.40-2.49,85.41666667,1,now()
203,9,2.5,2.69,2.50-2.69,Emerald2.50-2.69,82,1,now()
204,9,2.7,2.79,2.70-2.79,Emerald2.70-2.79,75.92592593,1,now()
205,9,2.8,2.94,2.80-2.94,Emerald2.80-2.94,73.21428571,1,now()
206,9,2.95,2.99,2.95-2.99,Emerald2.95-2.99,69.49152542,1,now()
207,9,3,3.99,3.00-3.99,Emerald3.00-3.99,99.66666667,1,now()
208,9,4,4.99,4.00-4.99,Emerald4.00-4.99,100,1,now()
209,9,5,5.99,5.00-5.99,Emerald5.00-5.99,113.6,1,now()
